English|OldName|NewName|Basis|NamingSource|CatalogStatus|Formal|SourceType|Usage|Reason|Url
Bash|写轮眼·破势|体术·肘击|兄弟之战体术连段|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”普攻3A肘击|官方手游实际动作|兄弟之战佐助用肘击将敌人顶飞；命中时仍可配合写轮眼破绽特写。|删除只描述易伤机制的“破势”，改为佐助在兄弟之战实际做出的肘击。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Defend (Ironclad)|草薙剑·剑御|草薙剑·横架|兄弟之战草薙剑连段|限定时期实战动作命名|动作根目录|草薙剑横架防御（描述性动作）|原作武器体系与官方手游动作|以草薙剑横架、剑脊卸力完成基础防御。|“剑御”不是佐助招式；横架是持剑角色可直接完成的防御动作，不冒充正式忍术。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Strike (Ironclad)|草薙剑·瞬斩|草薙剑·瞬身斩|兄弟之战草薙剑连段|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”瞬身斩击|官方手游实际动作|兄弟之战普攻4A、5A均以瞬身衔接上挑或突进斩。|补入实际存在的瞬身过程，使基础打击对应可见动作。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Anger|操手里剑·影袭|手里剑影分身之术|手里剑影分身之术（手游兄弟之战）|官方手游正式技能命名|官方手游技能|Shuriken Shadow Clone Technique / 手裏剣影分身の術|官方手游版本技能|兄弟之战佐助将机关手里剑变为两个，正好对应复制自身。|旧名“影袭”只是为复制机制造词；手游版本已经提供直接对应的真实技能表现。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Armaments|通灵·雷光剑化|草薙剑·雷遁附刃|草薙剑·千鸟刀|限定时期实战动作命名|动作根目录|Sword of Kusanagi: Chidori Katana / 草薙の剣・千鳥刀|原作漫画、动画、资料书|佐助将雷遁查克拉注入草薙剑，完成武器强化并保持防御架势。|把“升级手牌”落到实际的雷遁附刃动作；把正式雷光剑化留给真正召唤攻击牌的卡。|https://naruto.fandom.com/wiki/Sword_of_Kusanagi%3A_Chidori_Katana
Blood Wall|咒印·血界|咒印二·合翼防御|天之咒印·状态二的双翼格挡|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”咒印双翼格挡|官方手游实际动作|佐助进入咒印状态并合拢双翼持续格挡，形态代价对应失去生命。|佐助不会制造“血界”；改为手游明确展示的双翼格挡。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Breakthrough|千鸟流·突围|千鸟流|千鸟流|正式招式名原样采用|核心目录|Chidori Current / 千鳥流し|原作漫画、动画、资料书|佐助从全身释放雷电攻击周围目标，可直接表现群体突围。|删除为迁就卡名添加的“突围”，正式招式本身已完整表达动作。|https://naruto.fandom.com/wiki/Chidori_Current
Havoc|咒印·暴流|天之咒印·侵蚀|天之咒印|真实状态表现命名|真实能力|Cursed Seal of Heaven / 天の呪印|原作状态与能力|咒印侵蚀身体并强行释放力量，表现自动打出并消耗的不稳定代价。|“暴流”不是招式；改成咒印对身体和查克拉的真实影响描述。|https://naruto.fandom.com/wiki/Cursed_Seal_of_Heaven
Headbutt|雷光狮子连弹·冲膝|草薙剑·突进斩|兄弟之战草薙剑连段|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”普攻5A突进斩|官方手游实际动作|佐助瞬身落地后向前突进斩击。|旧名为了呼应“头槌”硬加冲膝；改为该时期实际展示的突进斩。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Molten Fist|写轮眼·裂隙拳|千鸟|千鸟|正式招式名原样采用|核心目录|Chidori / 千鳥|原作漫画、动画、资料书|写轮眼锁定既有破绽后，以高速千鸟贯穿目标并消耗。|佐助没有“裂隙拳”；千鸟是由写轮眼保障命中的高速贯穿攻击，完整覆盖该牌机制。|https://naruto-official.com/en/news/01_1715
Perfected Strike|草薙剑·千鸟连式|草薙剑·瞬身连斩|兄弟之战草薙剑连段|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”连续瞬身斩击|官方手游实际动作|把多张打击牌的成长表现为基础瞬身斩不断串联。|“千鸟连式”不是已知招式；改成兄弟之战实际连续斩击动作。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Pommel Strike|草薙剑·柄击|草薙剑·剑柄撞击|兄弟之战草薙剑连段|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”普攻1A剑柄撞击|官方手游实际动作|兄弟之战普攻第一段明确用剑柄撞击。|把简称“柄击”改为来源中实际描述的完整动作。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Setup Strike|千鸟刀·蓄势|千鸟刀·上挑|兄弟之战千鸟刀连段|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”千鸟刀上挑|官方手游实际动作|千鸟刀从空中贯穿落地后将敌人向上挑起，为后续攻击创造机会。|“蓄势”只是在翻译临时力量；上挑是该技能实际收尾动作。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Shrug It Off|大蛇丸流·蜕皮|白蛇替身|白蛇之力与替身表现|真实能力表现命名|真实能力|Power of the White Snake / 白蛇の力（替身表现）|原作能力与官方手游动作|受击时化为白蛇脱离，本体重新现身，表现格挡与抽牌后的继续行动。|“大蛇丸流·蜕皮”混合了术名；改成可直接看到的白蛇替身表现。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
